iter	Passed	Remaining
594	1339	911
595	1342	909
596	1343	907
597	1345	904
598	1347	902
599	1349	899
600	1352	897
601	1354	895
602	1356	892
603	1358	890
604	1360	888
605	1363	886
606	1365	883
607	1366	881
608	1369	879
609	1371	876
610	1373	874
611	1375	872
612	1377	869
613	1379	867
614	1382	865
615	1384	863
616	1386	860
617	1388	858
618	1390	856
619	1393	853
620	1395	851
621	1397	849
622	1400	847
623	1402	845
624	1405	843
625	1407	840
626	1409	838
627	1412	836
628	1414	834
629	1416	832
630	1419	829
631	1421	827
632	1423	825
633	1426	823
634	1428	821
635	1430	818
636	1432	816
637	1435	814
638	1437	812
639	1440	810
640	1442	807
641	1444	805
642	1447	803
643	1449	801
644	1451	799
645	1454	797
646	1456	794
647	1459	792
648	1461	790
649	1464	788
650	1466	786
651	1468	784
652	1471	781
653	1474	779
654	1476	777
655	1478	775
656	1481	773
657	1483	771
658	1485	768
659	1488	766
660	1491	764
661	1494	762
662	1497	760
663	1499	758
664	1502	756
665	1505	754
666	1508	753
667	1511	750
668	1513	748
669	1515	746
670	1518	744
671	1520	742
672	1523	740
673	1525	737
674	1527	735
675	1530	733
676	1532	731
677	1534	728
678	1536	726
679	1539	724
680	1541	722
681	1543	719
682	1546	717
683	1548	715
684	1550	713
685	1553	711
686	1555	708
687	1558	706
688	1560	704
689	1563	702
690	1565	700
691	1567	697
692	1570	695
693	1572	693
694	1574	691
695	1577	688
696	1579	686
697	1581	684
698	1583	681
699	1585	679
700	1587	677
701	1589	674
702	1591	672
703	1593	670
704	1595	667
705	1598	665
706	1600	663
707	1603	661
708	1605	658
709	1607	656
710	1609	654
711	1611	651
712	1614	649
713	1616	647
714	1618	645
715	1620	642
716	1622	640
717	1625	638
718	1627	635
719	1629	633
720	1631	631
721	1633	628
722	1635	626
723	1637	624
724	1639	622
725	1641	619
726	1644	617
727	1646	615
728	1648	612
729	1650	610
730	1652	608
731	1654	605
732	1657	603
733	1659	601
734	1661	599
735	1664	596
736	1666	594
737	1668	592
738	1670	590
739	1672	587
740	1674	585
741	1676	583
742	1679	580
743	1681	578
744	1683	576
745	1685	573
746	1688	571
747	1690	569
748	1692	567
749	1695	565
750	1698	563
751	1700	560
752	1702	558
753	1705	556
754	1707	554
755	1709	551
756	1711	549
757	1714	547
758	1716	544
759	1718	542
760	1720	540
761	1722	538
762	1725	535
763	1727	533
764	1730	531
765	1732	529
766	1734	526
767	1737	524
768	1739	522
769	1742	520
770	1744	518
771	1746	515
772	1748	513
773	1751	511
774	1754	509
775	1756	507
776	1759	505
777	1762	502
778	1764	500
779	1766	498
780	1769	496
781	1772	494
782	1775	491
783	1777	489
784	1780	487
785	1782	485
786	1784	482
787	1786	480
788	1788	478
789	1791	476
790	1793	473
791	1796	471
792	1799	469
793	1802	467
794	1805	465
795	1808	463
796	1810	461
797	1812	458
798	1815	456
799	1818	454
800	1820	452
801	1824	450
802	1827	448
803	1829	446
804	1832	443
805	1834	441
806	1837	439
807	1840	437
808	1843	435
809	1846	433
810	1848	430
811	1851	428
812	1853	426
813	1856	424
814	1859	421
815	1861	419
816	1863	417
817	1865	415
818	1867	412
819	1870	410
820	1872	408
821	1875	406
822	1877	403
823	1880	401
824	1882	399
825	1884	396
826	1886	394
827	1888	392
828	1891	390
829	1893	387
830	1895	385
831	1897	383
832	1899	380
833	1902	378
834	1904	376
835	1907	374
836	1909	371
837	1912	369
838	1914	367
839	1916	365
840	1918	362
841	1920	360
842	1922	358
843	1925	355
844	1927	353
845	1929	351
846	1932	349
847	1935	346
848	1937	344
849	1939	342
850	1941	339
851	1944	337
852	1946	335
853	1950	333
854	1952	331
855	1955	328
856	1957	326
857	1960	324
858	1962	322
859	1964	319
860	1966	317
861	1969	315
862	1971	312
863	1973	310
864	1975	308
865	1987	307
866	1990	305
867	1992	302
868	1994	300
869	1996	298
870	2002	296
871	2004	294
872	2007	292
873	2009	289
874	2012	287
875	2015	285
876	2017	282
877	2021	280
878	2024	278
879	2027	276
880	2042	275
881	2045	273
882	2047	271
883	2050	269
884	2053	266
885	2056	264
886	2058	262
887	2061	259
888	2063	257
889	2066	255
890	2068	253
891	2070	250
892	2073	248
893	2075	246
894	2077	243
895	2079	241
896	2081	238
897	2083	236
898	2086	234
899	2088	232
900	2091	229
901	2093	227
902	2095	225
903	2097	222
904	2099	220
905	2102	218
906	2104	215
907	2107	213
908	2109	211
909	2112	208
910	2115	206
911	2117	204
912	2119	201
913	2121	199
914	2123	197
915	2126	194
916	2128	192
917	2130	190
918	2132	187
919	2135	185
920	2137	183
921	2139	181
922	2141	178
923	2143	176
924	2145	173
925	2148	171
926	2150	169
927	2152	167
928	2154	164
929	2157	162
930	2159	160
931	2161	157
932	2163	155
933	2166	153
934	2168	150
935	2170	148
936	2172	146
937	2174	143
938	2176	141
939	2179	139
940	2182	136
941	2183	134
942	2186	132
943	2188	129
944	2190	127
945	2192	125
946	2195	122
947	2197	120
948	2200	118
949	2202	115
950	2204	113
951	2207	111
952	2210	108
953	2212	106
954	2214	104
955	2217	102
956	2219	99
957	2221	97
958	2223	95
959	2226	92
960	2229	90
961	2231	88
962	2233	85
963	2236	83
964	2239	81
965	2241	78
966	2243	76
967	2245	74
968	2248	71
969	2251	69
970	2253	67
971	2255	64
972	2258	62
973	2261	60
974	2263	58
975	2265	55
976	2267	53
977	2271	51
978	2274	48
979	2277	46
980	2280	44
981	2282	41
982	2286	39
983	2289	37
984	2291	34
985	2294	32
986	2297	30
987	2300	27
988	2302	25
989	2305	23
990	2308	20
991	2311	18
992	2314	16
993	2317	13
994	2320	11
995	2322	9
996	2325	6
997	2328	4
998	2331	2
999	2334	0
